@relation my_relation
@attribute attr0 real
@attribute attr1 real
@attribute attr2 real
@attribute attr3 real
@attribute attr4 real
@attribute attr5 real
@attribute attr6 real
@attribute attr7 real
@attribute attr8 real
@attribute attr9 real
@attribute attr10 real
@data
2.0,18.0,3.0,1.0,0.0,1.0,1.0,1.0,3.333333,3.333333,0.0
2.0,27.0,4.0,6.0,7.0,1.0,2.0,2.0,3.333333,3.333333,0.0
3.0,12.0,3.0,4.0,4.0,1.0,2.0,2.0,3.333333,3.333333,0.0
1.0,7.0,1.0,0.0,4.0,1.0,1.0,1.0,1.833333,1.75,0.0
1.0,4.0,1.0,2.0,2.0,0.0,0.0,0.0,1.833333,1.75,0.0
3.0,30.0,3.0,10.0,14.0,0.0,0.0,0.0,1.833333,1.75,0.0
7.0,206.0,60.0,19.0,52.0,5.0,11.0,11.0,4.829787,5.605263,1.0
7.0,111.0,21.0,17.0,18.0,2.0,6.0,6.0,7.714286,7.714286,1.0
1.0,7.0,2.0,1.0,32.0,1.0,0.0,1.0,2.166667,3.111111,0.0
3.0,18.0,3.0,9.0,9.0,1.0,1.0,1.0,2.0,2.0,0.0
1.0,8.0,1.0,3.0,3.0,0.0,0.0,0.0,2.0,2.0,0.0
2.0,14.0,2.0,1.0,1.0,0.0,0.0,0.0,2.0,2.0,0.0
2.0,31.0,2.0,6.0,5.0,9.0,10.0,10.0,2.0,2.0,0.0
1.0,7.0,1.0,3.0,6.0,0.0,0.0,0.0,1.0,1.0,0.0
3.0,22.0,8.0,2.0,7.0,1.0,2.0,2.0,2.636364,2.5,0.0
5.0,79.0,3.0,10.0,15.0,4.0,4.0,4.0,2.5,2.5,0.0
3.0,15.0,4.0,1.0,3.0,0.0,0.0,0.0,2.5,2.5,0.0
2.0,12.0,2.0,3.0,7.0,0.0,0.0,0.0,2.5,2.5,0.0
1.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,2.5,2.5,0.0
3.0,32.0,6.0,4.0,6.0,1.0,1.0,1.0,6.0,6.0,0.0
6.0,134.0,22.0,10.0,20.0,1.0,1.0,1.0,3.873016,4.314815,1.0
6.0,122.0,24.0,12.0,25.0,2.0,1.0,4.0,3.873016,4.314815,1.0
1.0,4.0,1.0,0.0,1.0,1.0,1.0,1.0,1.545455,1.545455,0.0
1.0,3.0,1.0,0.0,1.0,0.0,0.0,0.0,1.545455,1.545455,0.0
1.0,3.0,1.0,0.0,0.0,1.0,1.0,1.0,1.545455,1.545455,0.0
2.0,6.0,2.0,1.0,2.0,0.0,0.0,0.0,1.545455,1.545455,0.0
2.0,10.0,3.0,1.0,2.0,0.0,0.0,0.0,1.545455,1.545455,0.0
6.0,181.0,29.0,24.0,40.0,9.0,15.0,24.0,7.285714,8.0,1.0
8.0,110.0,20.0,15.0,33.0,7.0,6.0,18.0,3.714286,3.714286,1.0
3.0,22.0,3.0,6.0,10.0,1.0,0.0,1.0,2.222222,2.222222,0.0
2.0,18.0,2.0,5.0,9.0,1.0,0.0,1.0,2.222222,2.222222,0.0
2.0,13.0,2.0,2.0,3.0,0.0,0.0,0.0,2.222222,2.222222,0.0
2.0,13.0,2.0,7.0,8.0,0.0,0.0,0.0,2.222222,2.222222,0.0
5.0,23.0,5.0,4.0,16.0,1.0,1.0,6.0,2.055556,2.5,0.0
1.0,5.0,1.0,1.0,4.0,1.0,1.0,1.0,1.0,1.0,0.0
1.0,3.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0
1.0,3.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0
1.0,3.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0
1.0,3.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0
6.0,119.0,32.0,7.0,31.0,2.0,1.0,2.0,8.895522,8.954887,1.0
9.0,267.0,37.0,28.0,48.0,5.0,6.0,6.0,8.895522,8.954887,1.0
1.0,6.0,1.0,2.0,5.0,0.0,0.0,0.0,6.857143,6.857143,0.0
3.0,16.0,3.0,7.0,6.0,1.0,1.0,1.0,6.857143,6.857143,0.0
2.0,17.0,2.0,6.0,25.0,1.0,0.0,5.0,2.0,2.0,0.0
1.0,4.0,1.0,2.0,4.0,0.0,0.0,0.0,4.181818,4.181818,0.0
1.0,8.0,2.0,3.0,4.0,0.0,0.0,0.0,4.181818,4.181818,0.0
1.0,7.0,2.0,1.0,2.0,0.0,0.0,0.0,4.181818,4.181818,0.0
1.0,10.0,2.0,2.0,3.0,0.0,0.0,0.0,4.181818,4.181818,0.0
2.0,23.0,4.0,3.0,4.0,0.0,0.0,0.0,4.181818,4.181818,0.0
6.0,50.0,11.0,8.0,18.0,1.0,5.0,5.0,5.411765,5.411765,0.0
1.0,5.0,1.0,4.0,4.0,1.0,1.0,1.0,2.647059,2.647059,0.0
1.0,5.0,1.0,4.0,4.0,1.0,1.0,1.0,2.647059,2.647059,0.0
1.0,4.0,1.0,1.0,1.0,0.0,0.0,0.0,2.647059,2.647059,0.0
1.0,4.0,1.0,1.0,1.0,0.0,0.0,0.0,2.647059,2.647059,0.0
1.0,5.0,1.0,0.0,5.0,1.0,1.0,1.0,2.647059,2.647059,0.0
8.0,402.0,72.0,32.0,44.0,2.0,3.0,3.0,7.3125,10.181818,1.0
1.0,6.0,2.0,1.0,1.0,1.0,1.0,1.0,1.5,1.5,0.0
1.0,6.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,0.0
1.0,4.0,1.0,1.0,2.0,0.0,0.0,0.0,1.8,2.333333,0.0
1.0,4.0,1.0,1.0,2.0,0.0,0.0,0.0,1.8,2.333333,0.0
1.0,6.0,1.0,4.0,6.0,1.0,1.0,1.0,1.8,2.333333,0.0
4.0,29.0,4.0,5.0,6.0,2.0,2.0,2.0,1.8,2.333333,0.0
6.0,160.0,31.0,18.0,18.0,0.0,0.0,0.0,10.0,10.0,1.0
1.0,6.0,1.0,2.0,3.0,0.0,0.0,0.0,1.5,1.5,0.0
1.0,8.0,2.0,1.0,2.0,0.0,0.0,0.0,1.5,1.5,0.0
1.0,4.0,1.0,0.0,1.0,0.0,0.0,0.0,10.533333,8.416667,0.0
1.0,12.0,1.0,2.0,7.0,1.0,1.0,1.0,10.533333,8.416667,0.0
8.0,244.0,50.0,32.0,33.0,10.0,6.0,10.0,10.533333,8.416667,1.0
6.0,120.0,19.0,18.0,18.0,5.0,6.0,7.0,8.431818,8.902439,1.0
1.0,6.0,2.0,1.0,2.0,0.0,0.0,0.0,3.923077,3.923077,0.0
1.0,3.0,1.0,1.0,2.0,0.0,0.0,0.0,3.923077,3.923077,0.0
1.0,6.0,3.0,2.0,4.0,0.0,0.0,0.0,3.923077,3.923077,0.0
2.0,5.0,2.0,0.0,1.0,0.0,0.0,0.0,3.923077,3.923077,0.0
3.0,98.0,7.0,8.0,15.0,2.0,2.0,2.0,2.466667,3.75,0.0
1.0,7.0,1.0,3.0,3.0,3.0,3.0,3.0,3.5,3.5,0.0
1.0,7.0,1.0,3.0,3.0,3.0,3.0,3.0,3.5,3.5,0.0
3.0,20.0,3.0,7.0,7.0,1.0,1.0,1.0,3.5,3.5,0.0
2.0,10.0,1.0,3.0,3.0,1.0,1.0,1.0,3.5,3.5,0.0
6.0,80.0,17.0,14.0,18.0,4.0,6.0,6.0,3.375,6.428571,1.0
6.0,147.0,23.0,21.0,24.0,2.0,7.0,7.0,8.333333,8.333333,1.0
7.0,164.0,28.0,18.0,30.0,13.0,19.0,19.0,4.451613,4.451613,1.0
1.0,4.0,1.0,3.0,4.0,0.0,0.0,0.0,1.833333,1.833333,0.0
2.0,7.0,2.0,2.0,2.0,0.0,0.0,0.0,1.833333,1.833333,0.0
2.0,7.0,2.0,2.0,2.0,0.0,0.0,0.0,1.833333,1.833333,0.0
3.0,19.0,3.0,5.0,4.0,1.0,1.0,1.0,1.833333,1.833333,0.0
1.0,13.0,3.0,4.0,15.0,1.0,1.0,1.0,10.529412,11.0,0.0
2.0,20.0,7.0,0.0,11.0,1.0,1.0,1.0,10.529412,11.0,0.0
3.0,40.0,10.0,1.0,11.0,1.0,2.0,2.0,10.529412,11.0,0.0
5.0,108.0,43.0,15.0,54.0,3.0,5.0,13.0,10.529412,11.0,1.0
5.0,136.0,52.0,10.0,30.0,2.0,8.0,13.0,10.529412,11.0,1.0
4.0,120.0,24.0,13.0,28.0,5.0,16.0,17.0,4.833333,6.75,1.0
11.0,406.0,127.0,33.0,48.0,0.0,0.0,0.0,14.25,14.25,1.0
1.0,4.0,1.0,1.0,3.0,0.0,0.0,0.0,5.9375,5.9375,0.0
1.0,3.0,1.0,0.0,1.0,0.0,0.0,0.0,5.9375,5.9375,0.0
2.0,20.0,3.0,4.0,6.0,0.0,0.0,0.0,5.9375,5.9375,0.0
2.0,30.0,2.0,11.0,12.0,2.0,2.0,2.0,5.9375,5.9375,0.0
7.0,143.0,22.0,31.0,99.0,5.0,8.0,26.0,5.9375,5.9375,1.0
10.0,102.0,18.0,28.0,57.0,4.0,7.0,18.0,5.9375,5.9375,1.0
8.0,374.0,87.0,39.0,72.0,8.0,14.0,22.0,19.0,21.8,1.0
1.0,3.0,1.0,2.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
1.0,6.0,1.0,9.0,6.0,1.0,1.0,1.0,1.0,1.0,0.0
1.0,5.0,1.0,0.0,2.0,0.0,0.0,0.0,1.0,1.0,0.0
1.0,7.0,1.0,2.0,3.0,1.0,1.0,1.0,1.0,1.0,0.0
1.0,4.0,1.0,0.0,4.0,0.0,0.0,0.0,1.0,1.0,0.0
7.0,241.0,55.0,36.0,42.0,2.0,2.0,2.0,7.833333,9.666667,1.0
2.0,38.0,3.0,14.0,27.0,5.0,13.0,18.0,1.4,1.4,0.0
6.0,214.0,45.0,69.0,86.0,4.0,5.0,7.0,8.538462,8.538462,1.0
6.0,102.0,22.0,37.0,60.0,6.0,14.0,15.0,7.714286,7.714286,1.0
1.0,3.0,1.0,1.0,2.0,0.0,0.0,0.0,1.75,1.75,0.0
1.0,6.0,1.0,1.0,1.0,2.0,2.0,2.0,1.333333,1.142857,0.0
1.0,6.0,1.0,1.0,1.0,2.0,2.0,2.0,1.333333,1.142857,0.0
1.0,7.0,1.0,2.0,4.0,0.0,0.0,0.0,1.333333,1.142857,0.0
1.0,4.0,1.0,0.0,1.0,1.0,1.0,1.0,1.333333,1.142857,0.0
2.0,18.0,2.0,3.0,9.0,2.0,2.0,2.0,1.806452,1.862069,0.0
1.0,20.0,1.0,4.0,11.0,1.0,1.0,1.0,2.0,2.0,0.0
1.0,4.0,1.0,1.0,2.0,1.0,1.0,1.0,1.25,1.25,0.0
1.0,4.0,1.0,0.0,1.0,1.0,1.0,1.0,1.25,1.25,0.0
1.0,4.0,1.0,0.0,1.0,1.0,1.0,1.0,1.25,1.25,0.0
2.0,16.0,2.0,2.0,3.0,1.0,1.0,1.0,1.25,1.25,0.0
8.0,284.0,35.0,24.0,43.0,5.0,11.0,19.0,10.0,10.0,1.0
8.0,104.0,21.0,17.0,21.0,3.0,7.0,7.0,4.565217,4.565217,1.0
2.0,51.0,4.0,9.0,21.0,4.0,7.0,7.0,2.25,2.25,0.0
9.0,169.0,22.0,29.0,57.0,17.0,16.0,21.0,5.62069,6.076923,1.0
6.0,159.0,23.0,29.0,55.0,15.0,27.0,36.0,7.75,7.75,1.0
1.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
1.0,3.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
1.0,3.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0
7.0,114.0,22.0,14.0,30.0,1.0,1.0,1.0,6.142857,8.333333,1.0
1.0,3.0,1.0,1.0,2.0,0.0,0.0,0.0,2.0,2.0,0.0
2.0,15.0,3.0,5.0,6.0,1.0,1.0,1.0,2.0,2.0,0.0
1.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
3.0,19.0,7.0,1.0,8.0,4.0,3.0,5.0,3.0,3.125,0.0
3.0,26.0,5.0,3.0,13.0,1.0,1.0,5.0,6.494792,6.518325,0.0
6.0,164.0,39.0,25.0,46.0,13.0,16.0,26.0,3.947368,5.24,1.0
1.0,124.0,1.0,11.0,46.0,0.0,0.0,0.0,1.52809,1.660377,0.0
1.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,1.52809,1.660377,0.0
3.0,722.0,9.0,32.0,98.0,3.0,3.0,3.0,1.52809,1.660377,0.0
1.0,4.0,1.0,1.0,33.0,1.0,0.0,1.0,1.290909,1.507937,0.0
2.0,29.0,2.0,1.0,12.0,4.0,7.0,9.0,2.0,2.0,0.0
1.0,6.0,2.0,2.0,6.0,1.0,1.0,1.0,13.0,13.0,0.0
3.0,21.0,8.0,1.0,12.0,6.0,4.0,7.0,2.363636,2.75,0.0
2.0,7.0,2.0,1.0,1.0,0.0,0.0,0.0,5.460285,5.541494,0.0
1.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,5.460285,5.541494,0.0
1.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,5.460285,5.541494,0.0
1.0,4.0,1.0,1.0,2.0,0.0,0.0,0.0,4.1,4.263158,0.0
2.0,49.0,1.0,2.0,4.0,1.0,1.0,1.0,4.1,4.263158,0.0
3.0,24.0,2.0,3.0,6.0,1.0,1.0,1.0,4.1,4.263158,0.0
4.0,244.0,41.0,59.0,84.0,7.0,8.0,15.0,4.1,4.263158,1.0
8.0,176.0,41.0,14.0,21.0,5.0,15.0,22.0,4.1,4.263158,1.0
8.0,163.0,16.0,22.0,56.0,9.0,18.0,31.0,2.770701,3.194915,1.0
1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,3.444444,5.2,0.0
1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,3.444444,5.2,0.0
1.0,1.0,1.0,0.0,2.0,0.0,0.0,0.0,3.444444,5.2,0.0
3.0,39.0,7.0,9.0,16.0,2.0,4.0,6.0,5.666667,5.666667,0.0
3.0,30.0,4.0,7.0,8.0,0.0,0.0,0.0,3.0,3.0,0.0
4.0,58.0,7.0,11.0,11.0,0.0,0.0,0.0,3.0,3.0,0.0
1.0,6.0,2.0,2.0,2.0,0.0,0.0,0.0,3.0,3.0,0.0
2.0,18.0,3.0,7.0,6.0,0.0,0.0,0.0,4.272727,4.555556,0.0
7.0,210.0,48.0,37.0,62.0,6.0,9.0,14.0,8.1,8.1,1.0
6.0,156.0,13.0,25.0,40.0,5.0,9.0,14.0,4.0,4.0,1.0
1.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,3.090909,3.3,0.0
1.0,5.0,1.0,1.0,5.0,3.0,2.0,4.0,3.090909,3.3,0.0
7.0,138.0,25.0,27.0,30.0,1.0,3.0,4.0,9.0,10.142857,1.0
1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,1.428571,1.2,0.0
1.0,3.0,1.0,2.0,2.0,0.0,0.0,0.0,1.428571,1.2,0.0
1.0,3.0,1.0,3.0,3.0,1.0,1.0,1.0,1.428571,1.2,0.0
4.0,153.0,36.0,27.0,31.0,4.0,8.0,8.0,5.714286,5.714286,1.0
3.0,20.0,5.0,6.0,12.0,1.0,1.0,8.0,2.923077,2.923077,0.0
1.0,4.0,1.0,2.0,2.0,1.0,1.0,1.0,1.2,1.333333,0.0
1.0,6.0,2.0,2.0,3.0,0.0,0.0,0.0,1.2,1.333333,0.0
2.0,27.0,8.0,7.0,15.0,8.0,14.0,17.0,4.6,4.6,0.0
1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
7.0,438.0,69.0,27.0,34.0,0.0,0.0,0.0,13.545455,13.545455,1.0
6.0,111.0,21.0,16.0,19.0,2.0,4.0,4.0,3.771429,3.848485,1.0
1.0,11.0,2.0,3.0,6.0,0.0,0.0,0.0,2.0,2.0,0.0
1.0,7.0,2.0,1.0,4.0,1.0,1.0,1.0,2.0,2.0,0.0
1.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,5.8,5.8,0.0
2.0,22.0,2.0,3.0,2.0,1.0,1.0,1.0,3.428571,3.428571,0.0
1.0,3.0,1.0,1.0,0.0,1.0,1.0,1.0,3.428571,3.428571,0.0
1.0,3.0,1.0,2.0,1.0,1.0,1.0,1.0,3.428571,3.428571,0.0
2.0,10.0,2.0,3.0,21.0,2.0,0.0,2.0,2.214286,1.818182,0.0
11.0,171.0,39.0,18.0,31.0,5.0,10.0,17.0,3.782609,4.555556,1.0
10.0,121.0,33.0,9.0,30.0,5.0,7.0,16.0,5.953488,6.225,1.0
1.0,5.0,1.0,0.0,1.0,0.0,0.0,0.0,1.285714,1.0,0.0
1.0,9.0,3.0,1.0,3.0,0.0,0.0,0.0,1.285714,1.0,0.0
1.0,5.0,1.0,1.0,2.0,0.0,0.0,0.0,1.285714,1.0,0.0
4.0,137.0,7.0,15.0,17.0,2.0,3.0,3.0,3.0,3.0,0.0
8.0,235.0,25.0,24.0,32.0,4.0,4.0,12.0,25.0,25.0,1.0
9.0,177.0,21.0,19.0,20.0,4.0,9.0,9.0,12.5,12.5,1.0
4.0,77.0,7.0,7.0,22.0,7.0,8.0,18.0,3.4,4.142857,0.0
6.0,120.0,12.0,14.0,15.0,2.0,3.0,3.0,4.0625,4.0625,1.0
7.0,193.0,21.0,26.0,27.0,4.0,10.0,10.0,12.0,12.0,1.0
7.0,177.0,20.0,13.0,35.0,2.0,5.0,20.0,5.5,5.5,1.0
1.0,6.0,1.0,3.0,7.0,1.0,1.0,3.0,1.0,1.0,0.0
1.0,3.0,1.0,2.0,3.0,1.0,1.0,1.0,1.0,1.0,0.0
1.0,22.0,1.0,7.0,7.0,0.0,0.0,0.0,3.0,3.0,0.0
3.0,47.0,13.0,10.0,27.0,2.0,2.0,6.0,2.666667,2.818182,0.0
1.0,13.0,1.0,2.0,22.0,6.0,6.0,17.0,1.6,1.818182,0.0
8.0,363.0,47.0,50.0,91.0,13.0,14.0,42.0,3.6,7.5,1.0
6.0,136.0,20.0,29.0,40.0,4.0,8.0,14.0,4.875,6.166667,1.0
7.0,127.0,23.0,21.0,66.0,16.0,17.0,44.0,4.026667,4.913793,1.0
7.0,142.0,26.0,22.0,69.0,16.0,18.0,46.0,4.026667,4.913793,1.0
6.0,157.0,15.0,23.0,112.0,6.0,22.0,77.0,2.555556,4.5,1.0
7.0,139.0,17.0,21.0,47.0,16.0,17.0,30.0,2.266667,4.166667,1.0
7.0,160.0,26.0,17.0,44.0,5.0,11.0,23.0,5.666667,7.0,1.0
8.0,391.0,54.0,40.0,99.0,18.0,18.0,48.0,5.0,6.818182,1.0
1.0,4.0,1.0,1.0,2.0,0.0,0.0,0.0,1.666667,1.666667,0.0
2.0,7.0,2.0,1.0,2.0,2.0,2.0,2.0,1.666667,1.666667,0.0
2.0,7.0,2.0,1.0,2.0,2.0,2.0,2.0,1.666667,1.666667,0.0
1.0,32.0,7.0,6.0,13.0,1.0,1.0,1.0,1.909091,1.909091,0.0
2.0,29.0,19.0,6.0,22.0,0.0,0.0,0.0,3.615385,3.615385,0.0
6.0,241.0,36.0,24.0,33.0,2.0,4.0,4.0,6.916667,6.916667,1.0
3.0,14.0,3.0,3.0,3.0,0.0,0.0,0.0,3.277778,3.277778,0.0
1.0,3.0,1.0,1.0,1.0,0.0,0.0,0.0,3.277778,3.277778,0.0
2.0,11.0,2.0,2.0,2.0,0.0,0.0,0.0,3.277778,3.277778,0.0
3.0,91.0,17.0,18.0,19.0,0.0,0.0,0.0,4.428571,4.428571,1.0
4.0,46.0,6.0,4.0,23.0,5.0,7.0,17.0,2.0,2.4,0.0
6.0,95.0,15.0,21.0,54.0,8.0,14.0,30.0,3.818182,3.818182,1.0
6.0,228.0,29.0,27.0,32.0,13.0,27.0,30.0,5.857143,5.857143,1.0
7.0,106.0,19.0,14.0,40.0,7.0,6.0,26.0,5.25,5.25,1.0
1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,4.142857,4.142857,0.0
2.0,16.0,2.0,5.0,7.0,5.0,6.0,6.0,4.142857,4.142857,0.0
2.0,33.0,3.0,11.0,14.0,7.0,10.0,10.0,4.142857,4.142857,0.0
3.0,36.0,4.0,11.0,21.0,9.0,14.0,17.0,4.142857,4.142857,0.0
2.0,43.0,7.0,10.0,17.0,8.0,13.0,13.0,4.142857,4.142857,0.0
3.0,135.0,18.0,20.0,35.0,11.0,20.0,24.0,5.555556,5.555556,1.0
6.0,271.0,33.0,54.0,89.0,14.0,32.0,49.0,11.6,11.6,1.0
3.0,102.0,15.0,27.0,48.0,12.0,15.0,24.0,5.333333,5.333333,1.0
6.0,115.0,20.0,22.0,67.0,8.0,13.0,34.0,5.090909,5.090909,1.0
1.0,7.0,1.0,3.0,7.0,4.0,3.0,4.0,1.478261,1.454545,0.0
1.0,7.0,1.0,1.0,2.0,1.0,1.0,1.0,1.478261,1.454545,0.0
3.0,31.0,6.0,1.0,6.0,1.0,1.0,1.0,1.478261,1.454545,0.0
6.0,125.0,30.0,17.0,32.0,6.0,12.0,12.0,5.153846,5.5,1.0
6.0,118.0,40.0,21.0,35.0,7.0,16.0,18.0,7.090909,7.090909,1.0
1.0,54.0,1.0,1.0,38.0,21.0,20.0,21.0,2.0,2.125,0.0
1.0,3.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0
1.0,4.0,1.0,2.0,4.0,0.0,0.0,0.0,1.8,2.0,0.0
2.0,6.0,2.0,1.0,2.0,0.0,0.0,0.0,1.8,2.0,0.0
3.0,99.0,15.0,17.0,44.0,4.0,6.0,15.0,3.692308,3.692308,1.0
3.0,45.0,21.0,2.0,23.0,3.0,1.0,3.0,3.32,3.32,0.0
7.0,101.0,27.0,12.0,22.0,8.0,17.0,18.0,27.0,27.0,1.0
1.0,3.0,1.0,0.0,0.0,1.0,1.0,1.0,1.111111,1.111111,0.0
1.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,1.111111,1.111111,0.0
1.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,1.111111,1.111111,0.0
4.0,41.0,7.0,10.0,14.0,3.0,4.0,5.0,3.5,3.5,0.0
1.0,37.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0
4.0,51.0,12.0,14.0,22.0,7.0,10.0,11.0,5.555556,5.555556,0.0
1.0,16.0,4.0,1.0,10.0,1.0,2.0,2.0,1.6,2.5,0.0
1.0,3.0,1.0,1.0,2.0,2.0,2.0,2.0,1.6,2.5,0.0
1.0,3.0,1.0,1.0,2.0,1.0,1.0,1.0,1.6,2.5,0.0
1.0,3.0,1.0,0.0,1.0,1.0,1.0,1.0,1.6,2.5,0.0
3.0,57.0,8.0,13.0,26.0,6.0,9.0,18.0,4.363636,4.363636,0.0
8.0,103.0,16.0,21.0,30.0,3.0,5.0,7.0,8.0,8.0,1.0
3.0,33.0,12.0,8.0,20.0,3.0,5.0,5.0,6.285714,7.166667,0.0
6.0,150.0,11.0,21.0,44.0,1.0,1.0,1.0,7.666667,7.785714,1.0
8.0,217.0,23.0,24.0,45.0,1.0,1.0,1.0,7.666667,7.785714,1.0
6.0,345.0,101.0,74.0,149.0,16.0,55.0,77.0,5.171053,7.117647,1.0
7.0,115.0,26.0,33.0,54.0,17.0,40.0,45.0,2.194286,2.44,1.0
9.0,150.0,38.0,25.0,54.0,17.0,27.0,35.0,7.216667,8.28,1.0
6.0,110.0,35.0,14.0,28.0,0.0,0.0,0.0,6.5,7.08,1.0
7.0,223.0,49.0,29.0,81.0,7.0,15.0,37.0,6.529412,8.0,1.0
6.0,103.0,29.0,16.0,28.0,6.0,11.0,11.0,7.65,7.65,1.0
1.0,26.0,1.0,3.0,8.0,4.0,4.0,4.0,1.0,1.0,0.0
1.0,6.0,1.0,1.0,4.0,1.0,0.0,1.0,1.0,1.0,0.0
1.0,5.0,1.0,1.0,3.0,0.0,0.0,0.0,1.0,1.0,0.0
3.0,35.0,5.0,4.0,11.0,4.0,4.0,6.0,3.5,3.5,0.0
6.0,167.0,24.0,11.0,33.0,4.0,3.0,4.0,3.740741,3.88,1.0
7.0,194.0,29.0,17.0,32.0,11.0,23.0,26.0,3.282353,3.723077,1.0
7.0,197.0,37.0,27.0,33.0,1.0,3.0,7.0,8.470588,8.470588,1.0
1.0,5.0,1.0,0.0,1.0,1.0,1.0,1.0,1.222222,1.4,0.0
1.0,3.0,1.0,0.0,1.0,0.0,0.0,0.0,1.222222,1.4,0.0
2.0,15.0,1.0,1.0,7.0,4.0,4.0,5.0,1.222222,1.4,0.0
1.0,3.0,1.0,1.0,3.0,1.0,0.0,1.0,1.222222,1.4,0.0
1.0,151.0,1.0,1.0,0.0,0.0,0.0,0.0,1.857143,1.6875,0.0
7.0,167.0,16.0,14.0,37.0,11.0,16.0,24.0,3.642857,3.666667,1.0
7.0,160.0,18.0,20.0,25.0,2.0,3.0,6.0,6.428571,6.428571,1.0
6.0,265.0,37.0,27.0,42.0,13.0,17.0,21.0,2.869565,3.051282,1.0
1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
1.0,4.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
1.0,4.0,1.0,1.0,3.0,0.0,0.0,0.0,1.2,1.2,0.0
1.0,4.0,1.0,2.0,3.0,0.0,0.0,0.0,1.2,1.2,0.0
