@relation my_relation
@attribute attr0 real
@attribute attr1 real
@attribute attr2 real
@attribute attr3 real
@attribute attr4 real
@attribute attr5 real
@attribute attr6 real
@attribute attr7 real
@attribute attr8 real
@attribute attr9 real
@attribute attr10 real
@attribute attr11 {Y0, Y1, Y2, Y3}
@data
17.0,7.0,17.0,571.0,571.0,19.0,45.0,45.0,17.0,15.0,1.0,'Y0'
2.0,2.0,2.0,66.0,66.0,2.0,8.0,8.0,2.0,1.0,0.0,'Y0'
7.0,5.0,7.0,239.0,239.0,7.0,27.0,27.0,5.0,5.0,0.0,'Y0'
10.0,4.0,6.0,149.0,91.0,7.0,14.0,6.0,10.0,5.0,0.0,'Y0'
40.0,17.0,39.0,1243.0,1234.0,46.0,133.0,132.0,2.0,38.0,1.0,'Y0'
11.0,0.0,3.0,83.0,43.0,0.0,11.0,3.0,11.0,0.0,0.0,'Y1'
1.0,1.0,1.0,8.0,8.0,1.0,2.0,2.0,2.0,1.0,0.0,'Y0'
5.0,2.0,3.0,95.0,75.0,4.0,9.0,7.0,5.0,3.0,0.0,'Y0'
29.0,9.0,14.0,573.0,477.0,23.0,71.0,56.0,29.0,14.0,1.0,'Y0'
8.0,3.0,2.0,100.0,64.0,9.0,13.0,7.0,8.0,1.0,0.0,'Y1'
1.0,0.0,1.0,252.0,252.0,0.0,1.0,1.0,1.0,0.0,0.0,'Y0'
11.0,15.0,11.0,323.0,323.0,29.0,49.0,49.0,11.0,10.0,1.0,'Y0'
1.0,0.0,1.0,9.0,9.0,0.0,2.0,2.0,2.0,1.0,0.0,'Y0'
12.0,2.0,2.0,97.0,42.0,2.0,19.0,8.0,11.0,1.0,0.0,'Y1'
2.0,0.0,2.0,21.0,21.0,0.0,3.0,3.0,2.0,1.0,0.0,'Y0'
15.0,1.0,8.0,263.0,155.0,1.0,19.0,8.0,15.0,7.0,0.0,'Y0'
17.0,0.0,1.0,97.0,1.0,0.0,17.0,1.0,17.0,0.0,0.0,'Y1'
13.0,3.0,13.0,218.0,218.0,3.0,51.0,51.0,11.0,12.0,1.0,'Y0'
1.0,0.0,1.0,8.0,8.0,0.0,2.0,2.0,2.0,1.0,0.0,'Y0'
162.0,41.0,73.0,3129.0,2065.0,71.0,476.0,344.0,153.0,70.0,1.0,'Y0'
41.0,0.0,1.0,380.0,380.0,0.0,42.0,2.0,42.0,1.0,0.0,'Y1'
6.0,0.0,0.0,61.0,61.0,0.0,8.0,0.0,7.0,0.0,0.0,'Y1'
6.0,0.0,0.0,26.0,26.0,0.0,6.0,0.0,6.0,0.0,0.0,'Y1'
16.0,14.0,16.0,561.0,561.0,23.0,56.0,56.0,1.0,15.0,1.0,'Y0'
10.0,1.0,3.0,90.0,21.0,2.0,14.0,3.0,11.0,3.0,0.0,'Y1'
31.0,23.0,31.0,1142.0,1142.0,47.0,138.0,138.0,31.0,30.0,1.0,'Y0'
7.0,1.0,1.0,33.0,3.0,1.0,7.0,1.0,7.0,0.0,0.0,'Y1'
8.0,0.0,1.0,38.0,3.0,0.0,8.0,1.0,8.0,0.0,0.0,'Y1'
12.0,0.0,1.0,56.0,1.0,0.0,12.0,1.0,12.0,0.0,0.0,'Y1'
14.0,0.0,1.0,65.0,0.0,0.0,14.0,1.0,14.0,0.0,0.0,'Y1'
10.0,0.0,1.0,47.0,2.0,0.0,10.0,1.0,10.0,0.0,0.0,'Y1'
6.0,1.0,6.0,59.0,59.0,1.0,11.0,11.0,6.0,5.0,0.0,'Y0'
1.0,0.0,1.0,5.0,5.0,0.0,1.0,1.0,2.0,1.0,0.0,'Y0'
17.0,7.0,15.0,695.0,616.0,18.0,179.0,165.0,16.0,14.0,1.0,'Y0'
8.0,4.0,8.0,125.0,125.0,8.0,31.0,31.0,8.0,6.0,0.0,'Y0'
65.0,24.0,63.0,2137.0,2127.0,50.0,464.0,462.0,57.0,62.0,1.0,'Y0'
16.0,18.0,16.0,590.0,590.0,26.0,95.0,95.0,15.0,14.0,1.0,'Y0'
13.0,14.0,13.0,531.0,531.0,55.0,51.0,51.0,11.0,11.0,1.0,'Y0'
14.0,3.0,7.0,250.0,190.0,3.0,17.0,9.0,14.0,6.0,0.0,'Y0'
68.0,62.0,63.0,1867.0,1826.0,103.0,184.0,179.0,46.0,62.0,1.0,'Y0'
59.0,19.0,46.0,1097.0,957.0,32.0,203.0,179.0,59.0,44.0,1.0,'Y0'
2.0,1.0,2.0,12.0,12.0,1.0,2.0,2.0,3.0,2.0,0.0,'Y0'
4.0,2.0,4.0,29.0,29.0,2.0,4.0,4.0,4.0,3.0,0.0,'Y0'
9.0,3.0,4.0,94.0,38.0,4.0,9.0,4.0,8.0,3.0,0.0,'Y1'
12.0,9.0,12.0,290.0,290.0,20.0,21.0,21.0,12.0,11.0,0.0,'Y0'
2.0,5.0,1.0,47.0,30.0,7.0,3.0,2.0,3.0,1.0,0.0,'Y0'
9.0,0.0,4.0,117.0,67.0,0.0,10.0,5.0,9.0,2.0,0.0,'Y1'
73.0,13.0,65.0,1812.0,1706.0,67.0,234.0,221.0,73.0,62.0,1.0,'Y0'
1.0,0.0,1.0,24.0,24.0,0.0,1.0,1.0,1.0,0.0,0.0,'Y0'
9.0,3.0,7.0,131.0,93.0,6.0,12.0,8.0,9.0,4.0,0.0,'Y0'
14.0,0.0,14.0,255.0,255.0,0.0,30.0,30.0,14.0,12.0,0.0,'Y0'
8.0,2.0,8.0,88.0,88.0,8.0,10.0,10.0,8.0,7.0,0.0,'Y0'
8.0,13.0,8.0,155.0,155.0,14.0,17.0,17.0,7.0,7.0,0.0,'Y0'
23.0,0.0,7.0,149.0,41.0,0.0,30.0,7.0,23.0,6.0,0.0,'Y1'
18.0,47.0,17.0,2165.0,2143.0,97.0,196.0,191.0,17.0,16.0,1.0,'Y0'
2.0,2.0,2.0,21.0,21.0,2.0,2.0,2.0,2.0,1.0,0.0,'Y0'
3.0,2.0,3.0,31.0,31.0,1.0,3.0,3.0,2.0,2.0,0.0,'Y0'
104.0,45.0,85.0,1526.0,1384.0,59.0,174.0,147.0,104.0,84.0,1.0,'Y0'
10.0,4.0,5.0,227.0,169.0,5.0,17.0,8.0,10.0,4.0,0.0,'Y0'
2.0,1.0,2.0,24.0,24.0,1.0,4.0,4.0,2.0,2.0,0.0,'Y0'
11.0,0.0,11.0,58.0,58.0,0.0,11.0,11.0,11.0,11.0,0.0,'Y0'
38.0,29.0,25.0,745.0,637.0,49.0,150.0,131.0,38.0,24.0,1.0,'Y0'
89.0,5.0,53.0,2078.0,1633.0,4.0,136.0,88.0,89.0,52.0,1.0,'Y0'
25.0,3.0,23.0,596.0,576.0,3.0,69.0,64.0,25.0,22.0,0.0,'Y0'
55.0,3.0,48.0,2214.0,2128.0,3.0,264.0,255.0,55.0,46.0,1.0,'Y0'
11.0,0.0,6.0,121.0,83.0,0.0,13.0,8.0,11.0,5.0,0.0,'Y1'
50.0,3.0,47.0,2044.0,2022.0,8.0,219.0,216.0,50.0,46.0,1.0,'Y0'
9.0,0.0,1.0,75.0,11.0,0.0,9.0,1.0,9.0,0.0,0.0,'Y1'
2.0,1.0,2.0,129.0,129.0,2.0,26.0,26.0,2.0,1.0,0.0,'Y0'
5.0,1.0,2.0,120.0,83.0,0.0,5.0,2.0,5.0,0.0,0.0,'Y1'
15.0,0.0,2.0,97.0,17.0,0.0,15.0,2.0,15.0,0.0,0.0,'Y1'
8.0,0.0,3.0,47.0,17.0,0.0,8.0,3.0,8.0,1.0,0.0,'Y1'
72.0,53.0,72.0,1550.0,1550.0,67.0,193.0,193.0,0.0,72.0,1.0,'Y0'
40.0,12.0,38.0,1127.0,1100.0,34.0,164.0,162.0,40.0,37.0,1.0,'Y0'
3.0,0.0,3.0,29.0,29.0,0.0,7.0,7.0,4.0,3.0,0.0,'Y0'
6.0,0.0,0.0,61.0,19.0,0.0,6.0,0.0,7.0,0.0,0.0,'Y1'
157.0,69.0,118.0,3877.0,3392.0,181.0,435.0,377.0,157.0,118.0,1.0,'Y0'
31.0,1.0,27.0,1399.0,1357.0,1.0,332.0,325.0,30.0,26.0,1.0,'Y0'
21.0,27.0,18.0,1381.0,1277.0,60.0,166.0,148.0,20.0,15.0,1.0,'Y0'
9.0,0.0,5.0,177.0,161.0,0.0,31.0,26.0,8.0,4.0,0.0,'Y0'
6.0,3.0,2.0,36.0,24.0,3.0,6.0,2.0,6.0,1.0,0.0,'Y1'
7.0,0.0,1.0,21.0,3.0,0.0,7.0,1.0,7.0,0.0,0.0,'Y1'
7.0,0.0,1.0,20.0,2.0,0.0,7.0,1.0,7.0,0.0,0.0,'Y1'
1.0,4.0,1.0,71.0,71.0,4.0,1.0,1.0,1.0,0.0,0.0,'Y0'
8.0,1.0,8.0,269.0,269.0,1.0,24.0,24.0,5.0,8.0,0.0,'Y0'
11.0,0.0,9.0,382.0,337.0,0.0,47.0,41.0,10.0,8.0,0.0,'Y0'
15.0,2.0,2.0,175.0,34.0,1.0,16.0,2.0,15.0,0.0,0.0,'Y1'
25.0,13.0,25.0,1157.0,1157.0,31.0,119.0,119.0,17.0,25.0,1.0,'Y0'
5.0,0.0,1.0,35.0,11.0,0.0,5.0,1.0,5.0,0.0,0.0,'Y1'
62.0,22.0,61.0,2958.0,2937.0,48.0,390.0,388.0,54.0,60.0,1.0,'Y0'
10.0,0.0,0.0,109.0,109.0,0.0,10.0,0.0,11.0,0.0,0.0,'Y1'
26.0,4.0,14.0,1184.0,953.0,13.0,136.0,97.0,26.0,13.0,1.0,'Y0'
7.0,0.0,1.0,44.0,14.0,0.0,7.0,1.0,8.0,1.0,0.0,'Y1'
45.0,9.0,42.0,1065.0,1033.0,38.0,200.0,196.0,45.0,41.0,1.0,'Y0'
139.0,17.0,101.0,2907.0,2435.0,70.0,485.0,436.0,137.0,97.0,1.0,'Y0'
18.0,0.0,1.0,179.0,43.0,0.0,18.0,1.0,18.0,0.0,0.0,'Y1'
7.0,2.0,5.0,98.0,68.0,4.0,10.0,6.0,7.0,2.0,0.0,'Y0'
2.0,0.0,2.0,44.0,44.0,0.0,3.0,3.0,0.0,2.0,0.0,'Y0'
5.0,1.0,3.0,26.0,15.0,1.0,6.0,4.0,5.0,3.0,0.0,'Y0'
8.0,0.0,1.0,32.0,32.0,0.0,8.0,1.0,8.0,1.0,0.0,'Y1'
6.0,0.0,0.0,24.0,24.0,0.0,6.0,0.0,7.0,0.0,0.0,'Y1'
6.0,0.0,0.0,25.0,25.0,0.0,6.0,0.0,7.0,0.0,0.0,'Y1'
7.0,0.0,1.0,29.0,29.0,0.0,7.0,1.0,7.0,0.0,0.0,'Y1'
6.0,0.0,0.0,24.0,24.0,0.0,6.0,0.0,7.0,0.0,0.0,'Y1'
6.0,0.0,0.0,23.0,23.0,0.0,6.0,0.0,6.0,0.0,0.0,'Y1'
8.0,0.0,0.0,31.0,31.0,0.0,8.0,0.0,8.0,0.0,0.0,'Y1'
1.0,0.0,1.0,3.0,3.0,0.0,1.0,1.0,1.0,1.0,0.0,'Y0'
1.0,2.0,1.0,3.0,3.0,2.0,1.0,1.0,1.0,1.0,0.0,'Y0'
1.0,0.0,1.0,230.0,230.0,0.0,1.0,1.0,1.0,0.0,0.0,'Y0'
1.0,0.0,1.0,110.0,110.0,0.0,1.0,1.0,1.0,0.0,0.0,'Y0'
5.0,15.0,5.0,214.0,214.0,27.0,29.0,29.0,5.0,4.0,0.0,'Y0'
7.0,10.0,1.0,272.0,96.0,13.0,25.0,1.0,7.0,0.0,0.0,'Y1'
5.0,0.0,1.0,34.0,14.0,0.0,5.0,1.0,5.0,0.0,0.0,'Y1'
43.0,21.0,40.0,1400.0,1348.0,89.0,256.0,249.0,43.0,38.0,1.0,'Y0'
6.0,0.0,0.0,31.0,1.0,0.0,6.0,0.0,7.0,0.0,0.0,'Y1'
7.0,0.0,2.0,63.0,20.0,0.0,8.0,2.0,7.0,0.0,0.0,'Y1'
154.0,36.0,108.0,2792.0,2378.0,80.0,489.0,414.0,153.0,105.0,1.0,'Y0'
55.0,21.0,37.0,1299.0,1179.0,51.0,214.0,194.0,55.0,36.0,1.0,'Y0'
7.0,0.0,3.0,79.0,45.0,0.0,9.0,3.0,7.0,3.0,0.0,'Y1'
5.0,0.0,1.0,63.0,35.0,0.0,5.0,1.0,5.0,0.0,0.0,'Y1'
11.0,0.0,1.0,117.0,47.0,0.0,11.0,1.0,11.0,0.0,0.0,'Y1'
7.0,0.0,1.0,101.0,53.0,0.0,7.0,1.0,7.0,0.0,0.0,'Y1'
8.0,1.0,2.0,48.0,18.0,1.0,8.0,2.0,8.0,0.0,0.0,'Y1'
7.0,2.0,7.0,1217.0,1217.0,14.0,167.0,167.0,0.0,7.0,1.0,'Y0'
12.0,0.0,2.0,125.0,55.0,0.0,12.0,2.0,12.0,0.0,0.0,'Y1'
7.0,0.0,1.0,91.0,49.0,0.0,7.0,1.0,7.0,0.0,0.0,'Y1'
8.0,0.0,2.0,81.0,39.0,0.0,8.0,2.0,8.0,0.0,0.0,'Y1'
93.0,35.0,70.0,1494.0,1324.0,71.0,289.0,254.0,87.0,69.0,1.0,'Y0'
7.0,9.0,7.0,5126.0,5126.0,23.0,181.0,181.0,3.0,7.0,1.0,'Y0'
8.0,11.0,8.0,5349.0,5349.0,25.0,185.0,185.0,3.0,8.0,1.0,'Y0'
10.0,4.0,4.0,78.0,33.0,4.0,10.0,4.0,10.0,3.0,0.0,'Y1'
23.0,0.0,1.0,292.0,69.0,0.0,23.0,1.0,23.0,0.0,0.0,'Y1'
22.0,0.0,0.0,224.0,8.0,0.0,22.0,0.0,23.0,0.0,0.0,'Y1'
10.0,0.0,0.0,89.0,9.0,0.0,10.0,0.0,11.0,0.0,0.0,'Y1'
15.0,0.0,1.0,115.0,3.0,0.0,15.0,1.0,15.0,0.0,0.0,'Y1'
8.0,0.0,0.0,70.0,6.0,0.0,8.0,0.0,9.0,0.0,0.0,'Y1'
75.0,38.0,58.0,1890.0,1767.0,103.0,302.0,285.0,74.0,58.0,1.0,'Y0'
82.0,39.0,64.0,1817.0,1678.0,96.0,302.0,283.0,82.0,63.0,1.0,'Y0'
38.0,22.0,38.0,1241.0,1241.0,55.0,121.0,121.0,38.0,34.0,1.0,'Y0'
43.0,23.0,43.0,1958.0,1958.0,53.0,251.0,251.0,43.0,41.0,1.0,'Y0'
36.0,1.0,36.0,818.0,818.0,2.0,118.0,118.0,0.0,36.0,0.0,'Y0'
9.0,1.0,1.0,34.0,10.0,2.0,11.0,3.0,9.0,0.0,0.0,'Y1'
13.0,0.0,1.0,67.0,7.0,0.0,13.0,1.0,13.0,0.0,0.0,'Y1'
11.0,0.0,1.0,52.0,2.0,0.0,11.0,1.0,11.0,0.0,0.0,'Y1'
14.0,0.0,0.0,68.0,68.0,0.0,14.0,0.0,15.0,0.0,0.0,'Y1'
14.0,0.0,0.0,68.0,68.0,0.0,14.0,0.0,15.0,0.0,0.0,'Y1'
9.0,23.0,9.0,429.0,429.0,57.0,50.0,50.0,9.0,8.0,1.0,'Y0'
3.0,21.0,2.0,413.0,407.0,137.0,136.0,135.0,3.0,1.0,1.0,'Y0'
4.0,0.0,0.0,20.0,0.0,0.0,4.0,0.0,5.0,0.0,0.0,'Y1'
6.0,0.0,0.0,28.0,28.0,0.0,6.0,0.0,7.0,0.0,0.0,'Y1'
1.0,0.0,1.0,69.0,69.0,0.0,1.0,1.0,1.0,0.0,0.0,'Y0'
1.0,0.0,1.0,79.0,79.0,0.0,1.0,1.0,1.0,0.0,0.0,'Y0'
14.0,0.0,0.0,59.0,59.0,0.0,14.0,0.0,15.0,0.0,0.0,'Y1'
42.0,0.0,0.0,204.0,204.0,0.0,42.0,0.0,43.0,0.0,0.0,'Y1'
14.0,0.0,0.0,59.0,59.0,0.0,14.0,0.0,14.0,0.0,0.0,'Y1'
52.0,19.0,51.0,1320.0,1315.0,94.0,135.0,134.0,51.0,50.0,1.0,'Y0'
1.0,5.0,1.0,117.0,117.0,7.0,8.0,8.0,1.0,0.0,0.0,'Y0'
9.0,8.0,1.0,47.0,7.0,8.0,9.0,1.0,9.0,0.0,0.0,'Y1'
7.0,1.0,1.0,41.0,11.0,4.0,7.0,1.0,7.0,0.0,0.0,'Y1'
4.0,0.0,1.0,22.0,7.0,0.0,4.0,1.0,4.0,0.0,0.0,'Y1'
45.0,32.0,40.0,1134.0,1029.0,78.0,172.0,150.0,44.0,39.0,1.0,'Y0'
9.0,4.0,9.0,82.0,82.0,3.0,10.0,10.0,9.0,8.0,0.0,'Y0'
9.0,0.0,1.0,43.0,43.0,0.0,11.0,1.0,9.0,0.0,0.0,'Y1'
8.0,0.0,4.0,40.0,20.0,0.0,9.0,5.0,8.0,2.0,0.0,'Y1'
6.0,0.0,6.0,33.0,33.0,0.0,7.0,7.0,6.0,3.0,0.0,'Y0'
5.0,0.0,2.0,56.0,41.0,0.0,5.0,2.0,5.0,0.0,0.0,'Y1'
8.0,0.0,1.0,47.0,12.0,0.0,8.0,1.0,8.0,0.0,0.0,'Y1'
8.0,3.0,2.0,85.0,21.0,4.0,10.0,4.0,8.0,0.0,0.0,'Y0'
25.0,1.0,5.0,214.0,114.0,2.0,28.0,8.0,24.0,4.0,0.0,'Y1'
7.0,1.0,1.0,77.0,3.0,2.0,7.0,1.0,7.0,0.0,0.0,'Y0'
7.0,1.0,1.0,76.0,3.0,2.0,7.0,1.0,7.0,0.0,0.0,'Y0'
105.0,27.0,51.0,1950.0,1339.0,49.0,263.0,202.0,89.0,49.0,1.0,'Y0'
1.0,1.0,1.0,38.0,38.0,1.0,1.0,1.0,1.0,0.0,0.0,'Y0'
12.0,1.0,3.0,147.0,57.0,1.0,12.0,3.0,12.0,1.0,0.0,'Y1'
63.0,20.0,26.0,1562.0,1079.0,56.0,263.0,216.0,57.0,25.0,1.0,'Y0'
64.0,50.0,46.0,1635.0,1395.0,178.0,372.0,335.0,62.0,45.0,1.0,'Y0'
76.0,60.0,51.0,2345.0,2147.0,227.0,393.0,363.0,76.0,50.0,1.0,'Y0'
42.0,20.0,34.0,1513.0,1371.0,47.0,273.0,250.0,40.0,32.0,1.0,'Y0'
139.0,35.0,120.0,3585.0,3336.0,133.0,742.0,703.0,114.0,108.0,1.0,'Y0'
40.0,20.0,37.0,1093.0,1062.0,30.0,93.0,90.0,36.0,34.0,0.0,'Y0'
53.0,50.0,42.0,2060.0,1951.0,91.0,185.0,167.0,49.0,40.0,1.0,'Y0'
85.0,33.0,65.0,2167.0,1901.0,105.0,279.0,242.0,83.0,64.0,1.0,'Y0'
117.0,21.0,96.0,2711.0,2424.0,70.0,334.0,299.0,117.0,94.0,1.0,'Y0'
1.0,1.0,1.0,13.0,13.0,1.0,1.0,1.0,1.0,0.0,0.0,'Y0'
1.0,1.0,1.0,33.0,33.0,1.0,1.0,1.0,1.0,0.0,0.0,'Y0'
1.0,1.0,1.0,42.0,42.0,1.0,1.0,1.0,1.0,0.0,0.0,'Y0'
46.0,30.0,39.0,1091.0,997.0,80.0,132.0,119.0,45.0,37.0,1.0,'Y0'
46.0,20.0,46.0,1837.0,1837.0,48.0,275.0,275.0,43.0,45.0,1.0,'Y0'
8.0,0.0,2.0,64.0,23.0,0.0,8.0,2.0,8.0,0.0,0.0,'Y1'
7.0,0.0,2.0,57.0,24.0,0.0,7.0,2.0,7.0,0.0,0.0,'Y1'
66.0,17.0,66.0,3363.0,3363.0,54.0,518.0,518.0,62.0,64.0,1.0,'Y0'
1.0,0.0,1.0,270.0,270.0,0.0,1.0,1.0,1.0,0.0,0.0,'Y0'
1.0,0.0,1.0,41.0,41.0,0.0,1.0,1.0,1.0,0.0,0.0,'Y0'
38.0,22.0,30.0,1075.0,989.0,40.0,164.0,151.0,36.0,25.0,1.0,'Y0'
54.0,23.0,32.0,1614.0,1257.0,42.0,271.0,209.0,46.0,29.0,1.0,'Y0'
23.0,16.0,20.0,1054.0,1030.0,51.0,192.0,189.0,23.0,19.0,1.0,'Y0'
34.0,67.0,31.0,2633.0,2410.0,140.0,442.0,404.0,34.0,30.0,1.0,'Y0'
14.0,0.0,1.0,121.0,4.0,0.0,14.0,1.0,14.0,0.0,0.0,'Y1'
10.0,0.0,2.0,74.0,26.0,0.0,10.0,2.0,10.0,1.0,0.0,'Y1'
14.0,9.0,13.0,1176.0,1154.0,12.0,98.0,97.0,12.0,12.0,1.0,'Y0'
33.0,37.0,30.0,3563.0,3455.0,85.0,382.0,362.0,33.0,29.0,1.0,'Y0'
11.0,8.0,10.0,1257.0,1248.0,20.0,293.0,292.0,11.0,9.0,1.0,'Y0'
