IDMethod,project,package,complextype,method,NOP_method,CC_method,ATFD_method,FDP_method,CM_method,MAXNESTING_method,LOC_method,CYCLO_method,NMCS_method,NOLV_method,MaMCL_method,NOAV_method,LAA_method,FANOUT_method,CFNAMM_method,ATLD_method,CLNAMM_method,CINT_method,MeMCL_method,CDISP_method,NOII_type,NOAM_type,NOCS_type,NOM_type,NMO_type,ATFD_type,FANOUT_type,NOMNAMM_type,NOA_type,NIM_type,DIT_type,LOC_type,LOCNAMM_type,CFNAMM_type,TCC_type,NOPA_type,CBO_type,RFC_type,NOC_type,WMC_type,LCOM5_type,WOC_type,WMCNAMM_type,AMW_type,AMWNAMM_type,NOCS_package,NOMNAMM_package,NOI_package,LOC_package,NOM_package,NOPK_project,NOCS_project,NOI_project,NOM_project,NOMNAMM_project,LOC_project,is_long_parameters_list
3294,/mnt/qualitas/qualitas_corpus_compile/freemind-0.9.0,freemind.view.mindmapview,ArrowLinkView,"isTargetVisible()",0.0,0.0,0.0,0.0,0.0,1.0,3.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,2.0,1.0,0.0,1.0,0.0,1.0,0.0,2.0,0.0,17.0,0.0,2.0,4.0,15.0,6.0,0.0,1.0,235.0,220.0,346.0,0.0909090909090909,0.0,4.0,32.0,0.0,59.0,0.916666666666667,0.777777777777778,56.0,3.47058823529412,3.73333333333333,59.0,322.0,2.0,6298.0,410.0,43,849,78,5788,4778,65687,false
3305,/mnt/qualitas/qualitas_corpus_compile/freemind-0.9.0,freemind.view.mindmapview,ArrowLinkView,"getZoom()",0.0,0.0,1.0,1.0,0.0,1.0,2.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,2.0,0.0,17.0,0.0,2.0,4.0,15.0,6.0,0.0,1.0,235.0,220.0,346.0,0.0909090909090909,0.0,4.0,32.0,0.0,59.0,0.916666666666667,0.777777777777778,56.0,3.47058823529412,3.73333333333333,59.0,322.0,2.0,6298.0,410.0,43,849,78,5788,4778,65687,false
3769,/mnt/qualitas/qualitas_corpus_compile/freemind-0.9.0,freemind.modes.schememode,SchemeMapModel,"getXml(Writer)",1.0,0.0,0.0,0.0,0.0,1.0,3.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,1.0,2.0,3.0,8.0,0.0,65.0,3.0,128.0,128.0,117.0,0.0,0.0,14.0,65.0,0.0,18.0,0.0,1.0,18.0,2.25,2.25,8.0,28.0,0.0,396.0,32.0,43,849,78,5788,4778,65687,false
3884,/mnt/qualitas/qualitas_corpus_compile/freemind-0.9.0,freemind.common,NextLineProperty,"NextLineProperty()",0.0,2.0,0.0,0.0,2.0,1.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,5.0,0.0,0.0,0.0,4.0,0.0,0.0,1.0,23.0,18.0,0.0,0.0,0.0,1.0,5.0,0.0,5.0,0.0,0.8,4.0,1.0,1.0,30.0,76.0,2.0,1343.0,128.0,43,849,78,5788,4778,65687,false
4114,/mnt/qualitas/qualitas_corpus_compile/freemind-0.9.0,freemind.controller.filter,FilterComposerDialog,"getFileChooser()",0.0,2.0,1.0,1.0,2.0,1.0,5.0,1.0,0.0,2.0,0.0,5.0,0.333333333333333,3.0,4.0,1.0,0.0,3.0,0.0,1.0,0.0,2.0,13.0,9.0,1.0,7.0,24.0,7.0,31.0,538.0,6.0,628.0,613.0,620.0,0.0,0.0,14.0,51.0,0.0,23.0,1.04435483870968,0.666666666666667,21.0,2.55555555555556,3.0,23.0,60.0,1.0,1234.0,72.0,43,849,78,5788,4778,65687,false
3,/mnt/qualitas/qualitas_corpus_compile/freemind-0.9.0,freemind.modes.browsemode,BrowseXMLElement,"BrowseXMLElement(ModeController, Vector, HashMap)",3.0,0.0,0.0,0.0,0.0,1.0,4.0,1.0,0.0,3.0,0.0,4.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,1.0,0.0,6.0,8.0,2.0,99.0,3.0,44.0,44.0,94.0,0.133333333333333,0.0,34.0,196.0,0.0,9.0,0.857142857142857,1.0,9.0,1.125,1.125,16.0,76.0,0.0,921.0,92.0,43,849,78,5788,4778,65687,false
14,/mnt/qualitas/qualitas_corpus_compile/freemind-0.9.0,freemind.modes.mindmapmode.attributeactors,MindMapModeAttributeController,"performSetValueAt(NodeAttributeTableModel, Object, int, int)",4.0,0.0,4.0,3.0,0.0,4.0,51.0,8.0,0.0,16.0,0.0,24.0,0.555555555555556,11.0,20.0,5.0,0.0,14.0,0.0,0.785714285714286,1.0,0.0,6.0,18.0,0.0,11.0,31.0,18.0,14.0,0.0,1.0,399.0,399.0,2090.0,0.857142857142857,0.0,30.0,81.0,0.0,45.0,0.903361344537815,1.0,45.0,2.5,2.5,57.0,132.0,1.0,2362.0,136.0,43,849,78,5788,4778,65687,false
41,/mnt/qualitas/qualitas_corpus_compile/freemind-0.9.0,freemind.modes.mindmapmode.attributeactors,SetAttributeValueActor,"act(NodeAttributeTableModel, int, String)",3.0,0.0,1.0,1.0,0.0,1.0,4.0,1.0,0.0,3.0,0.0,5.0,0.0,2.0,2.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,6.0,0.0,3.0,4.0,6.0,0.0,5.0,2.0,42.0,42.0,57.0,0.0,0.0,12.0,24.0,0.0,7.0,0.0,1.0,7.0,1.16666666666667,1.16666666666667,57.0,132.0,1.0,2362.0,136.0,43,849,78,5788,4778,65687,false
54,/mnt/qualitas/qualitas_corpus_compile/freemind-0.9.0,freemind.modes.mindmapmode,MindMapXMLElement,"MindMapXMLElement(ModeController, Vector, HashMap)",3.0,0.0,0.0,0.0,0.0,1.0,4.0,1.0,0.0,3.0,0.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,1.0,1.0,7.0,9.0,1.0,99.0,3.0,72.0,72.0,126.0,0.0,0.0,34.0,198.0,0.0,12.0,1.0,1.0,12.0,1.33333333333333,1.33333333333333,38.0,198.0,0.0,4223.0,240.0,43,849,78,5788,4778,65687,false
58,/mnt/qualitas/qualitas_corpus_compile/freemind-0.9.0,freemind.modes.mindmapmode,MindMapArrowLinkModel,"changeInclination(int, int, NodeView, Point)",4.0,0.0,0.0,0.0,0.0,3.0,23.0,6.0,0.0,5.0,0.0,5.0,0.0,1.0,2.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,5.0,2.0,0.0,3.0,5.0,0.0,42.0,4.0,66.0,66.0,61.0,0.0,0.0,11.0,60.0,0.0,18.0,0.0,1.0,18.0,3.6,3.6,38.0,198.0,0.0,4223.0,240.0,43,849,78,5788,4778,65687,false
60,/mnt/qualitas/qualitas_corpus_compile/freemind-0.9.0,freemind.modes.mindmapmode,EncryptedMindMapNode,"EncryptedMindMapNode(MindMap, FreeMindMain, Object)",3.0,0.0,2.0,1.0,0.0,2.0,12.0,4.0,0.0,3.0,0.0,8.0,0.5,1.0,3.0,2.0,0.0,2.0,0.0,0.5,0.0,8.0,0.0,30.0,12.0,4.0,10.0,22.0,8.0,111.0,3.0,377.0,310.0,1214.0,0.0571428571428571,0.0,32.0,208.0,0.0,61.0,0.943965517241379,0.681818181818182,51.0,2.03333333333333,2.31818181818182,38.0,198.0,0.0,4223.0,240.0,43,849,78,5788,4778,65687,false
69,/mnt/qualitas/qualitas_corpus_compile/freemind-0.9.0,freemind.modes.mindmapmode,MindMapController,"changeArrowsOfArrowLink(boolean, boolean, MindMapArrowLinkModel)",3.0,0.0,0.0,0.0,0.0,1.0,5.0,1.0,0.0,3.0,0.0,4.0,1.0,1.0,2.0,1.0,0.0,1.0,0.0,1.0,1.0,29.0,18.0,123.0,17.0,50.0,138.0,94.0,108.0,77.0,2.0,1957.0,1669.0,51801.0,0.0126126126126126,87.0,145.0,571.0,0.0,273.0,0.99210686095932,0.404145077720207,234.0,2.21951219512195,2.48936170212766,38.0,198.0,0.0,4223.0,240.0,43,849,78,5788,4778,65687,false
147,/mnt/qualitas/qualitas_corpus_compile/freemind-0.9.0,freemind.controller,MapModuleManager.MapModuleChangeObserverCompound,"afterMapModuleChange(MapModule, Mode, MapModule, Mode)",4.0,1.0,0.0,0.0,1.0,2.0,6.0,2.0,0.0,6.0,0.0,7.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,7.0,0.0,0.0,0.0,7.0,1.0,0.0,1.0,44.0,44.0,35.0,1.0,0.0,3.0,12.0,0.0,13.0,0.0,1.0,13.0,1.85714285714286,1.85714285714286,78.0,182.0,2.0,3615.0,233.0,43,849,78,5788,4778,65687,true
165,/mnt/qualitas/qualitas_corpus_compile/freemind-0.9.0,freemind.main,FreeMind,"transpose(String, char, String)",3.0,0.0,0.0,0.0,0.0,2.0,11.0,3.0,0.0,6.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,9.0,8.0,48.0,0.0,17.0,25.0,39.0,54.0,534.0,6.0,1116.0,1063.0,1992.0,0.0540540540540541,34.0,23.0,104.0,0.0,115.0,0.994877856579984,0.402777777777778,105.0,2.39583333333333,2.69230769230769,50.0,388.0,3.0,8258.0,437.0,43,849,78,5788,4778,65687,false
191,/mnt/qualitas/qualitas_corpus_compile/freemind-0.9.0,freemind.main,XMLElement,"getAttribute(String, String, boolean, Hashtable)",4.0,0.0,0.0,0.0,0.0,3.0,23.0,5.0,0.0,6.0,0.0,8.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,90.0,1.0,0.0,1.0,83.0,18.0,0.0,1.0,2829.0,2637.0,54.0,0.0424555364314401,4.0,1.0,91.0,1.0,252.0,0.971910112359551,0.845070422535211,242.0,2.8,2.91566265060241,50.0,388.0,3.0,8258.0,437.0,43,849,78,5788,4778,65687,false
194,/mnt/qualitas/qualitas_corpus_compile/freemind-0.9.0,freemind.main,XMLElement,"getDoubleAttribute(String, String, boolean, Hashtable)",4.0,0.0,0.0,0.0,0.0,3.0,30.0,7.0,0.0,7.0,0.0,8.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,90.0,1.0,0.0,1.0,83.0,18.0,0.0,1.0,2829.0,2637.0,54.0,0.0424555364314401,4.0,1.0,91.0,1.0,252.0,0.971910112359551,0.845070422535211,242.0,2.8,2.91566265060241,50.0,388.0,3.0,8258.0,437.0,43,849,78,5788,4778,65687,false
208,/mnt/qualitas/qualitas_corpus_compile/freemind-0.9.0,freemind.modes.mindmapmode.actions,NodeUpAction,"moveNodeTo(MindMapNode, MindMapNode, int)",3.0,0.0,1.0,1.0,0.0,2.0,20.0,3.0,0.0,10.0,0.0,11.0,0.5,2.0,2.0,1.0,0.0,2.0,0.0,1.0,1.0,0.0,2.0,9.0,0.0,2.0,10.0,9.0,2.0,15.0,2.0,158.0,158.0,346.0,0.666666666666667,0.0,10.0,36.0,0.0,24.0,0.6875,1.0,24.0,2.66666666666667,2.66666666666667,74.0,380.0,4.0,5031.0,435.0,43,849,78,5788,4778,65687,false
218,/mnt/qualitas/qualitas_corpus_compile/freemind-0.9.0,freemind.modes.mindmapmode.actions,MindMapActions,"changeArrowsOfArrowLink(boolean, MindMapArrowLinkModel, boolean)",3.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,1.0,63.0,?,0.0,0.0,43.0,4.0,?,?,192.0,119.0,0.0,0.0,4.0,11.0,63.0,0.0,63.0,1.01612903225806,0.0,43.0,1.0,1.0,74.0,380.0,4.0,5031.0,435.0,43,849,78,5788,4778,65687,false
249,/mnt/qualitas/qualitas_corpus_compile/freemind-0.9.0,freemind.modes.mindmapmode.actions,ToggleFoldedAction,"createFoldAction(boolean, ListIterator, boolean)",3.0,0.0,0.0,0.0,0.0,4.0,28.0,4.0,0.0,8.0,0.0,9.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,9.0,0.0,3.0,9.0,8.0,2.0,15.0,2.0,118.0,101.0,280.0,0.4,0.0,10.0,31.0,0.0,22.0,0.75,0.857142857142857,19.0,2.44444444444444,2.375,74.0,380.0,4.0,5031.0,435.0,43,849,78,5788,4778,65687,false
258,/mnt/qualitas/qualitas_corpus_compile/freemind-0.9.0,freemind.modes.mindmapmode.actions,ChangeArrowsInArrowLinkAction,"getActionPair(boolean, MindMapArrowLinkModel, boolean)",3.0,0.0,2.0,1.0,0.0,1.0,4.0,1.0,0.0,3.0,0.0,5.0,0.0,2.0,2.0,0.0,0.0,3.0,0.0,0.666666666666667,1.0,0.0,0.0,9.0,0.0,5.0,9.0,9.0,4.0,17.0,3.0,77.0,77.0,152.0,0.166666666666667,0.0,12.0,30.0,0.0,12.0,0.9375,1.0,12.0,1.33333333333333,1.33333333333333,74.0,380.0,4.0,5031.0,435.0,43,849,78,5788,4778,65687,false
301,/mnt/qualitas/qualitas_corpus_compile/freemind-0.9.0,freemind.preferences.layout,GrabKeyDialog,"init(Buffer, KeyBinding, Vector)",3.0,0.0,0.0,0.0,0.0,3.0,90.0,5.0,0.0,7.0,0.0,16.0,0.9,3.0,6.0,9.0,0.0,3.0,0.0,1.0,0.0,1.0,5.0,15.0,1.0,0.0,4.0,14.0,13.0,538.0,6.0,573.0,568.0,94.0,0.0952380952380952,1.0,1.0,21.0,0.0,40.0,0.972527472527472,0.888888888888889,39.0,2.66666666666667,2.78571428571429,18.0,37.0,0.0,2462.0,40.0,43,849,78,5788,4778,65687,false
306,/mnt/qualitas/qualitas_corpus_compile/freemind-0.9.0,freemind.preferences.layout,OptionPanel.KeyProperty,"KeyProperty(String, String, JDialog)",3.0,1.0,0.0,0.0,1.0,3.0,20.0,1.0,0.0,3.0,0.0,5.0,1.0,1.0,3.0,3.0,0.0,1.0,0.0,1.0,1.0,6.0,1.0,10.0,0.0,0.0,2.0,4.0,7.0,6.0,2.0,90.0,58.0,53.0,0.222222222222222,0.0,2.0,19.0,0.0,13.0,0.920634920634921,0.4,7.0,1.3,1.75,18.0,37.0,0.0,2462.0,40.0,43,849,78,5788,4778,65687,false
312,/mnt/qualitas/qualitas_corpus_compile/freemind-0.9.0,freemind.view.mindmapview,NodeView,"getLast(Component, boolean, boolean)",3.0,0.0,0.0,0.0,0.0,4.0,26.0,11.0,0.0,7.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,27.0,0.0,98.0,4.0,14.0,21.0,71.0,23.0,516.0,4.0,1350.0,995.0,9678.0,0.0711039828922748,4.0,23.0,185.0,0.0,277.0,0.98027790228597,0.6,203.0,2.8265306122449,2.85915492957746,59.0,322.0,2.0,6298.0,410.0,43,849,78,5788,4778,65687,false
314,/mnt/qualitas/qualitas_corpus_compile/freemind-0.9.0,freemind.view.mindmapview,LeftNodeViewLayout,"getMainViewOutPoint(Point, NodeView, NodeView)",3.0,0.0,1.0,1.0,0.0,1.0,4.0,1.0,0.0,4.0,0.0,3.0,0.0,2.0,2.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,5.0,0.0,2.0,4.0,5.0,1.0,17.0,2.0,51.0,51.0,71.0,0.0,0.0,6.0,33.0,0.0,7.0,1.0,1.0,7.0,1.4,1.4,59.0,322.0,2.0,6298.0,410.0,43,849,78,5788,4778,65687,false
329,/mnt/qualitas/qualitas_corpus_compile/freemind-0.9.0,freemind.view.mindmapview,VerticalRootNodeViewLayout,"getMainViewOutPoint(Point, NodeView, NodeView)",3.0,0.0,1.0,1.0,0.0,3.0,27.0,4.0,0.0,10.0,0.0,12.0,0.5,3.0,12.0,1.0,0.0,7.0,0.0,0.428571428571429,0.0,0.0,0.0,5.0,0.0,3.0,5.0,5.0,3.0,17.0,2.0,90.0,90.0,116.0,0.0,0.0,7.0,39.0,0.0,10.0,1.08333333333333,1.0,10.0,2.0,2.0,59.0,322.0,2.0,6298.0,410.0,43,849,78,5788,4778,65687,false
361,/mnt/qualitas/qualitas_corpus_compile/freemind-0.9.0,freemind.modes.common,CommonNodeKeyListener.EditHandler,"edit(boolean, boolean, KeyEvent)",3.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,?,0.0,0.0,1.0,0.0,?,?,3.0,3.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,3.0,12.0,0.0,237.0,12.0,43,849,78,5788,4778,65687,false
1,/mnt/qualitas/qualitas_corpus_compile/freemind-0.9.0,freemind.modes.mindmapmode.attributeactors,ImportAttributesDialog.MyRenderer,"getTreeCellRendererComponent(JTree, boolean, Object, boolean, int, boolean, boolean)",7.0,0.0,3.0,1.0,0.0,1.0,29.0,4.0,0.0,9.0,0.0,14.0,0.428571428571429,1.0,0.0,3.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,5.0,2.0,2.0,3.0,576.0,6.0,37.0,37.0,2.0,1.0,0.0,2.0,5.0,0.0,5.0,1.0,1.0,5.0,2.5,2.5,57.0,132.0,1.0,2362.0,136.0,43,849,78,5788,4778,65687,true
2,/mnt/qualitas/qualitas_corpus_compile/freemind-0.9.0,freemind.view.mindmapview,CloudView,"paintClouds(double, double, double, double, double, Graphics2D, Graphics2D)",7.0,0.0,0.0,0.0,0.0,1.0,19.0,2.0,0.0,15.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,14.0,0.0,2.0,5.0,12.0,4.0,0.0,1.0,153.0,139.0,166.0,0.109090909090909,0.0,5.0,23.0,0.0,23.0,0.923076923076923,0.857142857142857,20.0,1.64285714285714,1.66666666666667,59.0,322.0,2.0,6298.0,410.0,43,849,78,5788,4778,65687,true
3,/mnt/qualitas/qualitas_corpus_compile/freemind-0.9.0,freemind.view.mindmapview,PathBBox,"accumQuad(double[], double, double, double, double, double, double, double)",8.0,0.0,0.0,0.0,0.0,1.0,10.0,1.0,0.0,11.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,6.0,0.0,0.0,1.0,150.0,150.0,0.0,1.0,0.0,0.0,6.0,0.0,22.0,0.0,1.0,22.0,3.66666666666667,3.66666666666667,59.0,322.0,2.0,6298.0,410.0,43,849,78,5788,4778,65687,true
4,/mnt/qualitas/qualitas_corpus_compile/freemind-0.9.0,freemind.view.mindmapview,PathBBox,"accumCubic(double[], double, double, double, double, double, double, double, double, double)",10.0,0.0,0.0,0.0,0.0,1.0,11.0,1.0,0.0,13.0,0.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,6.0,0.0,0.0,1.0,150.0,150.0,0.0,1.0,0.0,0.0,6.0,0.0,22.0,0.0,1.0,22.0,3.66666666666667,3.66666666666667,59.0,322.0,2.0,6298.0,410.0,43,849,78,5788,4778,65687,true
5,/mnt/qualitas/qualitas_corpus_compile/freemind-0.9.0,freemind.common,OptionalDontShowMeAgainDialog,"OptionalDontShowMeAgainDialog(Component, TextTranslator, int, String, JFrame, String, DontShowPropertyHandler)",7.0,4.0,0.0,0.0,4.0,1.0,10.0,1.0,0.0,7.0,0.0,14.0,1.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0,4.0,0.0,1.0,4.0,3.0,12.0,0.0,1.0,157.0,149.0,48.0,1.0,2.0,3.0,13.0,0.0,10.0,0.833333333333333,0.4,9.0,2.5,3.0,30.0,76.0,2.0,1343.0,128.0,43,849,78,5788,4778,65687,true
4206,/mnt/qualitas/qualitas_corpus_compile/jasml-0.10,com.jasml.compiler,SourceCodeParser,"preprocessConstantValues(String)",0.0,0.0,0.0,0.0,0.0,2.0,20.0,5.0,0.0,1.0,0.0,7.0,1.0,3.0,16.0,6.0,0.0,8.0,0.0,0.375,1.0,0.0,2.0,29.0,0.0,106.0,25.0,29.0,4.0,0.0,1.0,1371.0,1371.0,4344.0,0.0,0.0,27.0,87.0,0.0,328.0,0.723214285714286,1.0,328.0,11.3103448275862,11.3103448275862,8.0,97.0,1.0,2639.0,106.0,4,48,1,245,233,6694,false
4224,/mnt/qualitas/qualitas_corpus_compile/jasml-0.10,com.jasml.compiler,SourceCodeParser,"parseInteger(String)",1.0,0.0,0.0,0.0,0.0,2.0,7.0,3.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,29.0,0.0,106.0,25.0,29.0,4.0,0.0,1.0,1371.0,1371.0,4344.0,0.0,0.0,27.0,87.0,0.0,328.0,0.723214285714286,1.0,328.0,11.3103448275862,11.3103448275862,8.0,97.0,1.0,2639.0,106.0,4,48,1,245,233,6694,false
