IDMethod,project,package,complextype,method,NOP_method,CC_method,ATFD_method,FDP_method,CM_method,MAXNESTING_method,LOC_method,CYCLO_method,NMCS_method,NOLV_method,MaMCL_method,NOAV_method,LAA_method,FANOUT_method,CFNAMM_method,ATLD_method,CLNAMM_method,CINT_method,MeMCL_method,CDISP_method,NOII_type,NOAM_type,NOCS_type,NOM_type,NMO_type,ATFD_type,FANOUT_type,NOMNAMM_type,NOA_type,NIM_type,DIT_type,LOC_type,LOCNAMM_type,CFNAMM_type,TCC_type,NOPA_type,CBO_type,RFC_type,NOC_type,WMC_type,LCOM5_type,WOC_type,WMCNAMM_type,AMW_type,AMWNAMM_type,NOCS_package,NOMNAMM_package,NOI_package,LOC_package,NOM_package,NOPK_project,NOCS_project,NOI_project,NOM_project,NOMNAMM_project,LOC_project,is_switch_statements
2298,/mnt/qualitas/qualitas_corpus_compile/freemind-0.9.0,freemind.main,Tools.NameMnemonicHolder,"setMnemonic(char)",1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,4.0,?,0.0,0.0,1.0,0.0,?,?,19.0,4.0,0.0,0.0,0.0,0.0,4.0,0.0,4.0,0.0,0.0,1.0,1.0,1.0,50.0,388.0,3.0,8258.0,437.0,43,849,78,5788,4778,65687,false
2941,/mnt/qualitas/qualitas_corpus_compile/freemind-0.9.0,freemind.modes.mindmapmode.actions,ChangeArrowsInArrowLinkAction,"actionPerformed(ActionEvent)",1.0,0.0,0.0,0.0,0.0,1.0,3.0,1.0,0.0,1.0,0.0,3.0,1.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,9.0,0.0,5.0,9.0,9.0,4.0,17.0,3.0,77.0,77.0,152.0,0.166666666666667,0.0,12.0,30.0,0.0,12.0,0.9375,1.0,12.0,1.33333333333333,1.33333333333333,74.0,380.0,4.0,5031.0,435.0,43,849,78,5788,4778,65687,false
3122,/mnt/qualitas/qualitas_corpus_compile/freemind-0.9.0,freemind.extensions,HookRegistration,"deRegister()",0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,?,0.0,0.0,2.0,0.0,?,?,6.0,6.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,2.0,1.0,1.0,18.0,108.0,8.0,1339.0,136.0,43,849,78,5788,4778,65687,false
3132,/mnt/qualitas/qualitas_corpus_compile/freemind-0.9.0,freemind.extensions,HookDescriptorPluginAction,"getDocumentation()",0.0,1.0,0.0,0.0,1.0,1.0,3.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,12.0,1.0,1.0,1.0,10.0,4.0,5.0,2.0,86.0,74.0,80.0,0.527272727272727,1.0,4.0,22.0,0.0,20.0,0.818181818181818,0.769230769230769,18.0,1.66666666666667,1.8,18.0,108.0,8.0,1339.0,136.0,43,849,78,5788,4778,65687,false
3174,/mnt/qualitas/qualitas_corpus_compile/freemind-0.9.0,freemind.extensions,HookFactory,"getPossibleNodeHooks()",0.0,0.0,?,?,0.0,0.0,1.0,1.0,0.0,0.0,0.0,?,?,0.0,0.0,?,0.0,0.0,0.0,0.0,0.0,0.0,1.0,11.0,?,0.0,0.0,11.0,0.0,?,?,83.0,83.0,0.0,0.0,0.0,6.0,11.0,0.0,11.0,0.0,0.0,11.0,1.0,1.0,18.0,108.0,8.0,1339.0,136.0,43,849,78,5788,4778,65687,false
3650,/mnt/qualitas/qualitas_corpus_compile/freemind-0.9.0,freemind.view.mindmapview,EditNodeBase.EditControl,"cancel()",0.0,4.0,0.0,0.0,5.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,?,0.0,0.0,3.0,0.0,?,?,6.0,6.0,0.0,0.0,0.0,0.0,3.0,0.0,3.0,0.0,0.0,3.0,1.0,1.0,59.0,322.0,2.0,6298.0,410.0,43,849,78,5788,4778,65687,false
4078,/mnt/qualitas/qualitas_corpus_compile/freemind-0.9.0,freemind.common,SeparatorProperty,"SeparatorProperty(String)",1.0,2.0,0.0,0.0,2.0,1.0,4.0,1.0,0.0,1.0,0.0,2.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,5.0,0.0,0.0,1.0,3.0,1.0,0.0,1.0,27.0,17.0,6.0,0.0,0.0,1.0,6.0,0.0,5.0,1.0,0.6,3.0,1.0,1.0,30.0,76.0,2.0,1343.0,128.0,43,849,78,5788,4778,65687,false
4154,/mnt/qualitas/qualitas_corpus_compile/freemind-0.9.0,freemind.modes.common.dialogs,EnterPasswordDialog,"initialize()",0.0,0.0,0.0,0.0,0.0,2.0,18.0,1.0,0.0,0.0,0.0,2.0,1.0,2.0,4.0,1.0,0.0,2.0,0.0,1.0,0.0,7.0,4.0,14.0,0.0,0.0,2.0,7.0,14.0,539.0,6.0,271.0,114.0,108.0,0.0,2.0,2.0,16.0,0.0,26.0,0.934065934065934,0.333333333333333,13.0,1.85714285714286,1.85714285714286,10.0,35.0,0.0,646.0,47.0,43,849,78,5788,4778,65687,false
4246,/mnt/qualitas/qualitas_corpus_compile/freemind-0.9.0,freemind.controller.filter,FilterToolbar,"mapChanged(freemind.controller.filter.Filter, freemind.modes.MindMap)",1.0,1.0,0.0,0.0,1.0,3.0,18.0,4.0,0.0,2.0,0.0,6.0,1.0,2.0,8.0,4.0,0.0,4.0,0.0,0.5,0.0,2.0,4.0,12.0,0.0,2.0,12.0,10.0,12.0,536.0,6.0,239.0,227.0,358.0,0.416666666666667,0.0,13.0,37.0,0.0,20.0,0.931818181818182,1.0,18.0,1.66666666666667,1.8,23.0,60.0,1.0,1234.0,72.0,43,849,78,5788,4778,65687,false
31,/mnt/qualitas/qualitas_corpus_compile/freemind-0.9.0,freemind.view.mindmapview.attributeview,AttributeTable.MyFocusListener,"focusGained(FocusEvent)",1.0,0.0,0.0,0.0,0.0,5.0,23.0,2.0,0.0,3.0,0.0,3.0,1.0,1.0,2.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,2.0,0.0,3.0,7.0,2.0,1.0,0.0,1.0,51.0,51.0,30.0,1.0,0.0,6.0,12.0,0.0,8.0,0.0,1.0,8.0,4.0,4.0,18.0,102.0,0.0,1212.0,120.0,43,849,78,5788,4778,65687,false
35,/mnt/qualitas/qualitas_corpus_compile/freemind-0.9.0,freemind.view.mindmapview.attributeview,ReducedAttributeTableModelDecorator,"rebuildTableModel()",0.0,0.0,0.0,0.0,0.0,4.0,14.0,4.0,0.0,2.0,0.0,6.0,1.0,3.0,8.0,4.0,0.0,4.0,0.0,0.75,0.0,3.0,0.0,14.0,1.0,1.0,3.0,11.0,2.0,27.0,3.0,95.0,77.0,140.0,0.0,0.0,7.0,41.0,0.0,23.0,0.846153846153846,0.8,18.0,1.64285714285714,1.63636363636364,18.0,102.0,0.0,1212.0,120.0,43,849,78,5788,4778,65687,false
36,/mnt/qualitas/qualitas_corpus_compile/freemind-0.9.0,freemind.modes.mindmapmode.listeners,MindMapNodeMotionListener,"mouseDragged(MouseEvent e)",1.0,0.0,3.0,2.0,0.0,4.0,41.0,4.0,1.0,8.0,2.0,22.0,0.5,6.0,10.0,3.0,0.0,12.0,2.0,0.5,0.0,2.0,1.0,16.0,0.0,7.0,10.0,14.0,6.0,8.0,3.0,197.0,179.0,640.0,0.305555555555556,0.0,10.0,41.0,0.0,31.0,0.855555555555556,1.0,28.0,1.9375,2.0,4.0,27.0,0.0,516.0,29.0,43,849,78,5788,4778,65687,true
44,/mnt/qualitas/qualitas_corpus_compile/freemind-0.9.0,freemind.modes,XMLElementAdapter,"processUnfinishedLinks(MindMapLinkRegistry)",1.0,1.0,2.0,2.0,1.0,4.0,47.0,7.0,0.0,8.0,0.0,25.0,0.666666666666667,4.0,8.0,4.0,0.0,7.0,0.0,0.571428571428571,0.0,9.0,0.0,23.0,?,53.0,26.0,14.0,31.0,?,2.0,530.0,314.0,897.0,0.169590643274854,15.0,27.0,108.0,2.0,138.0,0.942815249266862,?,68.0,6.0,4.85714285714286,34.0,523.0,11.0,6037.0,728.0,43,849,78,5788,4778,65687,false
46,/mnt/qualitas/qualitas_corpus_compile/freemind-0.9.0,freemind.modes,ControllerAdapter,"open()",0.0,1.0,0.0,0.0,1.0,4.0,25.0,5.0,0.0,6.0,0.0,7.0,1.0,1.0,2.0,1.0,0.0,1.0,0.0,1.0,1.0,14.0,7.0,99.0,?,18.0,29.0,85.0,10.0,?,1.0,1186.0,1081.0,13341.0,0.0139556165637154,0.0,29.0,216.0,2.0,191.0,0.976530612244898,?,173.0,1.92929292929293,2.03529411764706,34.0,523.0,11.0,6037.0,728.0,43,849,78,5788,4778,65687,false
49,/mnt/qualitas/qualitas_corpus_compile/freemind-0.9.0,freemind.modes,MindIcon,"getIcon()",0.0,9.0,1.0,1.0,11.0,5.0,32.0,8.0,0.0,4.0,0.0,8.0,1.0,2.0,8.0,3.0,0.0,4.0,0.0,0.5,2.0,5.0,0.0,19.0,1.0,1.0,2.0,14.0,12.0,0.0,1.0,208.0,114.0,184.0,0.1,2.0,2.0,25.0,0.0,37.0,0.976851851851852,0.705882352941177,22.0,1.94736842105263,1.57142857142857,34.0,523.0,11.0,6037.0,728.0,43,849,78,5788,4778,65687,false
64,/mnt/qualitas/qualitas_corpus_compile/freemind-0.9.0,freemind.main,FreeMind,"getLogger(String)",1.0,0.0,2.0,1.0,0.0,4.0,43.0,5.0,0.0,10.0,0.0,13.0,0.333333333333333,2.0,4.0,1.0,0.0,2.0,0.0,1.0,1.0,9.0,8.0,48.0,0.0,17.0,25.0,39.0,54.0,534.0,6.0,1116.0,1063.0,1992.0,0.0540540540540541,34.0,23.0,104.0,0.0,115.0,0.994877856579984,0.402777777777778,105.0,2.39583333333333,2.69230769230769,50.0,388.0,3.0,8258.0,437.0,43,849,78,5788,4778,65687,false
66,/mnt/qualitas/qualitas_corpus_compile/freemind-0.9.0,freemind.main,FreeMind,"loadMaps(final String[] args, ModeController pModeController)",2.0,0.0,6.0,3.0,0.0,4.0,57.0,12.0,0.0,8.0,0.0,14.0,0.166666666666667,5.0,14.0,1.0,0.0,8.0,0.0,0.625,1.0,9.0,8.0,48.0,0.0,17.0,25.0,39.0,54.0,534.0,6.0,1116.0,1063.0,1992.0,0.0540540540540541,34.0,23.0,104.0,0.0,115.0,0.994877856579984,0.402777777777778,105.0,2.39583333333333,2.69230769230769,50.0,388.0,3.0,8258.0,437.0,43,849,78,5788,4778,65687,false
71,/mnt/qualitas/qualitas_corpus_compile/freemind-0.9.0,freemind.main,Tools,"getFile(Reader)",1.0,0.0,1.0,1.0,0.0,4.0,24.0,5.0,0.0,7.0,0.0,8.0,0.0,1.0,4.0,0.0,0.0,2.0,0.0,0.5,0.0,0.0,13.0,71.0,0.0,4.0,14.0,71.0,5.0,0.0,1.0,1327.0,1327.0,1192.0,0.000426257459505541,2.0,8.0,96.0,0.0,186.0,1.0,0.971830985915493,186.0,2.61971830985915,2.61971830985915,50.0,388.0,3.0,8258.0,437.0,43,849,78,5788,4778,65687,false
79,/mnt/qualitas/qualitas_corpus_compile/freemind-0.9.0,freemind.main,HtmlTools,"getMaximalOriginalPosition(int, ArrayList)",2.0,0.0,0.0,0.0,0.0,4.0,14.0,4.0,0.0,4.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,25.0,0.0,1.0,3.0,25.0,8.0,0.0,1.0,615.0,615.0,292.0,0.00395256916996047,2.0,2.0,30.0,0.0,100.0,1.0,0.92,100.0,4.0,4.0,50.0,388.0,3.0,8258.0,437.0,43,849,78,5788,4778,65687,false
89,/mnt/qualitas/qualitas_corpus_compile/freemind-0.9.0,freemind.modes.mindmapmode.actions,NodeUpAction,"_moveNodes(MindMapNode,List,int)",3.0,0.0,0.0,0.0,0.0,4.0,53.0,9.0,0.0,15.0,0.0,17.0,1.0,5.0,20.0,2.0,0.0,10.0,0.0,0.5,1.0,0.0,2.0,9.0,0.0,2.0,10.0,9.0,2.0,15.0,2.0,158.0,158.0,346.0,0.666666666666667,0.0,10.0,36.0,0.0,24.0,0.6875,1.0,24.0,2.66666666666667,2.66666666666667,74.0,380.0,4.0,5031.0,435.0,43,849,78,5788,4778,65687,false
96,/mnt/qualitas/qualitas_corpus_compile/freemind-0.9.0,freemind.modes.mindmapmode.actions,RevertAction,"act(XmlAction)",1.0,0.0,2.0,2.0,0.0,5.0,28.0,5.0,0.0,6.0,0.0,9.0,0.5,4.0,16.0,1.0,0.0,8.0,0.0,0.5,1.0,0.0,0.0,8.0,0.0,4.0,8.0,8.0,1.0,17.0,3.0,131.0,131.0,320.0,0.142857142857143,0.0,11.0,30.0,0.0,16.0,0.714285714285714,1.0,16.0,2.0,2.0,74.0,380.0,4.0,5031.0,435.0,43,849,78,5788,4778,65687,false
99,/mnt/qualitas/qualitas_corpus_compile/freemind-0.9.0,freemind.modes.mindmapmode.actions,NewChildAction,"addNew(MindMapNode,int,KeyEvent)",3.0,1.0,6.0,2.0,1.0,4.0,49.0,10.0,0.0,11.0,0.0,19.0,0.142857142857143,5.0,20.0,1.0,0.0,11.0,0.0,0.454545454545455,1.0,0.0,0.0,8.0,0.0,10.0,12.0,8.0,2.0,15.0,2.0,132.0,132.0,386.0,0.476190476190476,0.0,14.0,45.0,0.0,21.0,0.785714285714286,1.0,21.0,2.625,2.625,74.0,380.0,4.0,5031.0,435.0,43,849,78,5788,4778,65687,true
107,/mnt/qualitas/qualitas_corpus_compile/freemind-0.9.0,freemind.modes.mindmapmode.actions,PasteAction,"_paste(Transferable,MindMapNode,boolean,boolean)",4.0,0.0,2.0,2.0,0.0,5.0,44.0,8.0,0.0,10.0,0.0,18.0,0.8,6.0,12.0,4.0,0.0,8.0,0.0,0.75,1.0,1.0,7.0,18.0,0.0,14.0,21.0,17.0,8.0,15.0,2.0,660.0,647.0,1100.0,0.714285714285714,0.0,15.0,67.0,0.0,67.0,0.889705882352941,1.0,66.0,3.72222222222222,3.88235294117647,74.0,380.0,4.0,5031.0,435.0,43,849,78,5788,4778,65687,false
110,/mnt/qualitas/qualitas_corpus_compile/freemind-0.9.0,freemind.modes.mindmapmode.actions,NodeGeneralAction,"xmlActionPerformed(ActionEvent)",1.0,0.0,4.0,3.0,0.0,4.0,40.0,6.0,0.0,6.0,0.0,13.0,0.428571428571429,6.0,12.0,3.0,0.0,11.0,0.0,0.545454545454545,0.0,2.0,0.0,11.0,0.0,4.0,8.0,9.0,4.0,21.0,4.0,134.0,117.0,248.0,0.285714285714286,0.0,14.0,38.0,18.0,21.0,0.9,0.833333333333333,18.0,1.90909090909091,2.0,74.0,380.0,4.0,5031.0,435.0,43,849,78,5788,4778,65687,false
114,/mnt/qualitas/qualitas_corpus_compile/freemind-0.9.0,freemind.extensions,HookDescriptorPluginAction,"getInstanciationMethod()",0.0,1.0,1.0,1.0,1.0,4.0,14.0,4.0,0.0,3.0,0.0,6.0,0.5,1.0,2.0,1.0,0.0,1.0,0.0,1.0,0.0,2.0,0.0,12.0,1.0,1.0,1.0,10.0,4.0,5.0,2.0,86.0,74.0,80.0,0.527272727272727,1.0,4.0,22.0,0.0,20.0,0.818181818181818,0.769230769230769,18.0,1.66666666666667,1.8,18.0,108.0,8.0,1339.0,136.0,43,849,78,5788,4778,65687,false
123,/mnt/qualitas/qualitas_corpus_compile/freemind-0.9.0,freemind.view.mindmapview,NodeView,"getLast(Component,boolean,boolean)",3.0,0.0,0.0,0.0,0.0,4.0,26.0,11.0,0.0,7.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,27.0,0.0,98.0,4.0,14.0,21.0,71.0,23.0,516.0,4.0,1350.0,995.0,9678.0,0.0711039828922748,4.0,23.0,185.0,0.0,277.0,0.98027790228597,0.6,203.0,2.8265306122449,2.85915492957746,59.0,322.0,2.0,6298.0,410.0,43,849,78,5788,4778,65687,false
126,/mnt/qualitas/qualitas_corpus_compile/freemind-0.9.0,freemind.view.mindmapview,NodeView,"updateText()",0.0,0.0,4.0,2.0,0.0,4.0,77.0,19.0,1.0,9.0,2.0,17.0,0.428571428571429,7.0,14.0,3.0,0.0,12.0,2.0,0.583333333333333,1.0,27.0,0.0,98.0,4.0,14.0,21.0,71.0,23.0,516.0,4.0,1350.0,995.0,9678.0,0.0711039828922748,4.0,23.0,185.0,0.0,277.0,0.98027790228597,0.6,203.0,2.8265306122449,2.85915492957746,59.0,322.0,2.0,6298.0,410.0,43,849,78,5788,4778,65687,true
170,/mnt/qualitas/qualitas_corpus_compile/freemind-0.9.0,freemind.controller.filter,FilterComposerDialog.SelectedAttributeChangeListener,"itemStateChanged(ItemEvent)",1.0,0.0,15.0,3.0,0.0,5.0,52.0,10.0,0.0,2.0,0.0,20.0,0.0,3.0,4.0,0.0,0.0,4.0,0.0,0.75,1.0,0.0,0.0,1.0,0.0,15.0,3.0,1.0,0.0,0.0,1.0,57.0,57.0,8.0,1.0,0.0,4.0,5.0,0.0,10.0,0.0,1.0,10.0,10.0,10.0,23.0,60.0,1.0,1234.0,72.0,43,849,78,5788,4778,65687,true
1,/mnt/qualitas/qualitas_corpus_compile/freemind-0.9.0,freemind.modes.mindmapmode,MindMapController,"setImageByFileChooser()",0.0,1.0,3.0,2.0,1.0,6.0,47.0,11.0,0.0,8.0,0.0,19.0,0.0,4.0,17.0,0.0,0.0,9.0,0.0,0.444444444444444,1.0,29.0,18.0,123.0,17.0,50.0,138.0,94.0,108.0,77.0,2.0,1957.0,1669.0,51801.0,0.0126126126126126,87.0,145.0,571.0,0.0,273.0,0.99210686095932,0.404145077720207,234.0,2.21951219512195,2.48936170212766,38.0,198.0,0.0,4223.0,240.0,43,849,78,5788,4778,65687,false
2,/mnt/qualitas/qualitas_corpus_compile/freemind-0.9.0,freemind.modes.mindmapmode.listeners,MindMapNodeDropListener,"drop(DropTargetDropEvent)",1.0,0.0,6.0,5.0,0.0,6.0,161.0,20.0,0.0,18.0,0.0,27.0,0.166666666666667,8.0,34.0,1.0,0.0,22.0,0.0,0.363636363636364,1.0,0.0,0.0,9.0,0.0,7.0,8.0,9.0,1.0,0.0,1.0,236.0,236.0,302.0,0.0,0.0,11.0,35.0,0.0,33.0,0.875,1.0,33.0,3.66666666666667,3.66666666666667,4.0,27.0,0.0,516.0,29.0,43,849,78,5788,4778,65687,true
3,/mnt/qualitas/qualitas_corpus_compile/freemind-0.9.0,freemind.modes,StylePattern,"loadPattern(XMLElement,List)",2.0,0.0,1.0,1.0,0.0,6.0,88.0,28.0,0.0,10.0,0.0,41.0,0.0,3.0,12.0,0.0,0.0,6.0,0.0,0.5,0.0,30.0,0.0,42.0,1.0,1.0,5.0,12.0,15.0,0.0,1.0,381.0,145.0,1016.0,0.0850202429149798,0.0,6.0,62.0,0.0,70.0,0.939837398373984,0.268292682926829,40.0,1.66666666666667,3.33333333333333,34.0,523.0,11.0,6037.0,728.0,43,849,78,5788,4778,65687,true
4,/mnt/qualitas/qualitas_corpus_compile/freemind-0.9.0,freemind.main,FreeMind,"setScreenBounds()",0.0,0.0,5.0,2.0,0.0,6.0,183.0,5.0,0.0,13.0,0.0,30.0,0.692307692307692,9.0,20.0,9.0,0.0,13.0,0.0,0.692307692307692,1.0,9.0,8.0,48.0,0.0,17.0,25.0,39.0,54.0,534.0,6.0,1116.0,1063.0,1992.0,0.0540540540540541,34.0,23.0,104.0,0.0,115.0,0.994877856579984,0.402777777777778,105.0,2.39583333333333,2.69230769230769,50.0,388.0,3.0,8258.0,437.0,43,849,78,5788,4778,65687,true
12,/mnt/qualitas/qualitas_corpus_compile/freemind-0.9.0,freemind.main,Tools,"toRelativeURL(URL base, URL target)",2.0,2.0,0.0,0.0,2.0,6.0,73.0,12.0,0.0,10.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,71.0,0.0,4.0,14.0,71.0,5.0,0.0,1.0,1327.0,1327.0,1192.0,0.000426257459505541,2.0,8.0,96.0,0.0,186.0,1.0,0.971830985915493,186.0,2.61971830985915,2.61971830985915,50.0,388.0,3.0,8258.0,437.0,43,849,78,5788,4778,65687,false
13,/mnt/qualitas/qualitas_corpus_compile/freemind-0.9.0,freemind.main,HtmlTools,"unescapeHTMLUnicodeEntity(String)",1.0,5.0,0.0,0.0,6.0,7.0,49.0,12.0,0.0,8.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,25.0,0.0,1.0,3.0,25.0,8.0,0.0,1.0,615.0,615.0,292.0,0.00395256916996047,2.0,2.0,30.0,0.0,100.0,1.0,0.92,100.0,4.0,4.0,50.0,388.0,3.0,8258.0,437.0,43,849,78,5788,4778,65687,true
